date,zones,landings
12/21/20,south,3
12/22/20,south,3
12/23/20,south,3
12/24/20,south,3
12/25/20,south,3
12/26/20,south,3
12/27/20,south,3
12/28/20,south,3
12/29/20,south,3
12/30/20,south,3
12/31/20,south,3
1/1/21,south,22
1/2/21,south,22
1/3/21,south,22
1/4/21,south,22
1/5/21,south,22
1/6/21,south,22
1/7/21,south,22
1/8/21,south,22
1/9/21,south,22
1/10/21,south,22
1/11/21,south,22
1/12/21,south,22
1/13/21,south,22
1/14/21,south,22
1/15/21,south,22
1/16/21,south,22
1/17/21,south,22
1/18/21,south,22
1/19/21,south,22
1/20/21,south,22
1/21/21,south,22
1/22/21,south,22
1/23/21,south,22
1/24/21,south,22
1/25/21,south,22
1/26/21,south,22
1/27/21,south,22
1/28/21,south,22
1/29/21,south,22
1/30/21,south,22
1/31/21,south,22
2/1/21,south,22
2/2/21,south,22
2/3/21,south,22
2/4/21,south,22
2/5/21,south,22
2/6/21,south,22
2/7/21,south,22
2/8/21,south,22
2/9/21,south,22
2/10/21,south,22
2/11/21,south,22
2/12/21,south,22
2/13/21,south,22
2/14/21,south,22
2/15/21,south,22
2/16/21,south,22
2/17/21,south,22
2/18/21,south,22
2/19/21,south,22
2/20/21,south,22
2/21/21,south,22
2/22/21,south,22
2/23/21,south,22
2/24/21,south,22
2/25/21,south,22
2/26/21,south,22
2/27/21,south,22
2/28/21,south,22
3/1/21,south,21
3/2/21,south,21
3/3/21,south,21
3/4/21,south,21
3/5/21,south,21
3/6/21,south,21
3/7/21,south,21
3/8/21,south,21
3/9/21,south,21
3/10/21,south,21
3/11/21,south,21
3/12/21,south,21
3/13/21,south,21
3/14/21,south,21
3/15/21,south,21
3/16/21,south,21
3/17/21,south,21
